ime,podjetje,e-posta,vir,datum_prijave,velikost_podjetja,panoga,vloga
Nejc Potočnik,Distribucija Pivo Plus,nejc.potocnik@distribucija.si,priporočilo,2026-05-21,,,
Ana Novak,Pasji Raj,ana.novak@pasji.si,Instagram DM,2026-05-04,,,
Nejc Potočnik,Kavarna Čokl,nejc.potocnik@kavarna.si,spletni obrazec,2026-05-17,,,
Luka Zupan,Bar Šumi,luka.zupan@bar.si,spletni obrazec,2026-05-14,,,
Sara Vidmar,Pasji Raj,sara.vidmar@pasji.si,sejem PODIM,2026-05-03,,,
Nina Kos,ZooCity,nina.kos@zoocity.si,spletni obrazec,2026-05-27,,,
Žan Bizjak,Pasji Raj,zan.bizjak@pasji.si,sejem PODIM,2026-05-21,,,
Katarina Hribar,Kavarna Čokl,katarina.hribar@kavarna.si,spletni obrazec,2026-05-19,,,
Žan Bizjak,ZooCity,zan.bizjak@zoocity.si,spletni obrazec,2026-05-08,,,
Ana Novak,Penzion Pohorje,ana.novak@penzion.si,sejem PODIM,2026-05-10,,,
Sara Vidmar,Distribucija Pivo Plus,sara.vidmar@distribucija.si,Instagram DM,2026-05-04,,,
Žan Bizjak,Coworking Poligon,zan.bizjak@coworking.si,Instagram DM,2026-05-27,,,
Katarina Hribar,Distribucija Pivo Plus,katarina.hribar@distribucija.si,spletni obrazec,2026-05-19,,,
Žan Bizjak,Mačja Hiša Pet Shop,zan.bizjak@macja.si,sejem PODIM,2026-05-12,,,
Marko Horvat,Penzion Pohorje,marko.horvat@penzion.si,spletni obrazec,2026-05-19,,,
Ana Novak,Kavarna Čokl,ana.novak@kavarna.si,sejem PODIM,2026-05-16,,,
Katarina Hribar,Penzion Pohorje,katarina.hribar@penzion.si,priporočilo,2026-05-25,,,
Nejc Potočnik,HoReCa Oskrba,nejc.potocnik@horeca.si,Instagram DM,2026-05-15,,,
Nejc Potočnik,Coworking Poligon,nejc.potocnik@coworking.si,sejem PODIM,2026-05-26,,,
Eva Kovač,Festival Lent,eva.kovac@festival.si,sejem PODIM,2026-05-03,,,
Žan Bizjak,Coworking Poligon,zan.bizjak@coworking.si,Instagram DM,2026-05-16,,,
Tjaša Rozman,Pivnica Lajbah,tjasa.rozman@pivnica.si,priporočilo,2026-05-10,,,
Žan Bizjak,Pasji Raj,zan.bizjak@pasji.si,spletni obrazec,2026-05-17,,,
Sara Vidmar,Distribucija Pivo Plus,sara.vidmar@distribucija.si,LinkedIn,2026-05-05,,,
Tjaša Rozman,HoReCa Oskrba,tjasa.rozman@horeca.si,priporočilo,2026-05-02,,,
Katarina Hribar,Pasji Raj,katarina.hribar@pasji.si,Instagram DM,2026-05-19,,,
Petra Černe,EventLab,petra.cerne@eventlab.si,LinkedIn,2026-05-11,,,
Matej Golob,Pivnica Lajbah,matej.golob@pivnica.si,Instagram DM,2026-05-16,,,
Žan Bizjak,Hiša Franko,zan.bizjak@hisa.si,priporočilo,2026-05-03,,,
Rok Pavlin,Pasji Raj,rok.pavlin@pasji.si,LinkedIn,2026-05-16,,,
